what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456410767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1449456410802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1449456410802
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1449456417022
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449456417439
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456493177
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456493589
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1449456494247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456515658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456572735
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456574929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449456578091
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1449456581956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1449456582877
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456593298
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456593590
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456603323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456615052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456640238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449456645368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456654412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456662055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456666549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456673155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456735543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456742223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456792584
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456796601
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456796872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456809114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456810317
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456827200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456829420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456834453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1449456834483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456840983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456845655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1449456845688
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456849415
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456855610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456859479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456873066
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456877305
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456877668
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456886764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449456903606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449456908121
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456915250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456915592
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456919572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449456920210
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456924740
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1449456925471
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456926060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1449456929465
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456937653
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456944817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456946617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456954115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1449456954150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456960825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456967295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456969961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449456971012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449456971023
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456979459
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449456979751
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449456984795
