what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1449457786371
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1449457791076
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1449457791416
error,log,,,"Invalid ZIP archive: E:\\IdeaProjects\\Android_bofangqi\\dragsortlistviewlibrary\\bin\\dragsortlistviewlibrary.jar",1449457808481
error,log,,,"Invalid ZIP archive: E:\\IdeaProjects\\Android_bofangqi\\dragsortlistviewlibrary\\bin\\dragsortlistviewlibrary.jar",1449457808563
error,log,,,"Invalid ZIP archive: E:\\IdeaProjects\\Android_bofangqi\\dragsortlistviewlibrary\\bin\\dragsortlistviewlibrary.jar",1449457808898
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1449457809123
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.5.1,"org.tigris.subversion.clientadapter.javahl",1449457809147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449457810636
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1449457819847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449457825111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1449457825163
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449457837511
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449457838202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449457852736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449457938649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449457939495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449457957724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1449457985023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1449458000809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449458008309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449458045051
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1449458046740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449458052684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449458053976
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449458055181
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449458055506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1449458079948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449458159304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1449458160580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449458256621
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1449458257422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449458258623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449458259363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1449458263704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449458265394
